pontid,Latitude,Longitude,Persistenc,SST_Var
42,34.4662857977,-120.122423856,0.60844826508,1.89098849972726
43,34.4665633215,-120.11155152,0.54588309279,2.23178420330997
44,34.4668398801,-120.100679035,0.63363363383,2.23178420330997
45,34.4485096579,-120.448151901,0.47254521977,1.60695551022742
46,34.4488160115,-120.437285419,0.6173835124,1.62989209695788
47,34.4491214017,-120.426418773,0.68073782417,1.62989209695788
48,34.4494258284,-120.415551964,0.54419375877,1.58604363499393
49,34.4497292916,-120.404684992,0.5243942791,1.57172962502888
50,34.4500317912,-120.393817857,0.51687486301,1.66267963162754
51,34.4503333272,-120.382950561,0.35779867709,1.66751387988234
52,34.4506338996,-120.372083104,0.29138579159,1.6223240400381
53,34.4509335082,-120.361215486,0.5216186279,1.67369637977099
54,34.4512321532,-120.350347708,0.47669066463,1.67369637977099
55,34.4515298343,-120.33947977,0.3878378385,1.68498991987445
56,34.4518265515,-120.328611673,0.42682304982,1.76750200804226
57,34.4575584192,-120.111217098,0.21621622,1.89427719561007
58,34.4578348853,-120.100345777,0.55051480012,1.89427719561007
59,34.4581103865,-120.089474308,0.57340757829,1.9404333828236
60,34.4583849228,-120.078602692,0.33976833993,1.90591741685658
61,34.4586584943,-120.067730929,0.47967479684,1.93552789105771
62,34.4589311007,-120.05685902,0.36486486561,1.93076290138675
63,34.4592027422,-120.045986965,0.35360360376,1.92657739552546
64,34.4594734186,-120.035114765,0.1986486499,1.93748470995345
65,34.45974313,-120.02424242,0.183783786,1.94379853062652
66,34.4600118762,-120.013369931,0.28108108,1.94379853062652
67,34.4602796572,-120.002497298,0.24116424308,1.91397632696465
68,34.4395077695,-120.447781595,0.45959595939,1.60695551022742
69,34.4401193084,-120.426050789,0.44047619057,1.62989209695788
70,34.4404236332,-120.415185141,0.63129251686,1.58604363499393
71,34.4407269948,-120.404319331,0.58444612143,1.57172962502888
72,34.4410293932,-120.393453358,0.5145225008,1.59106563608309
73,34.4413308282,-120.382587224,0.47964566549,1.67263856084104
74,34.4416312999,-120.371720928,0.3248297408,1.66857783700271
75,34.4419308083,-120.360854472,0.23774994471,1.68299848061921
76,34.451540554,-119.991303049,0.16119691089,2.14460313867478
77,34.4518063155,-119.980431294,0.48948948889,2.39243315245428
78,34.4320269784,-120.39308902,0.27334711698,1.67514753156467
79,34.4428002915,-119.980111127,0.3497377983,1.73671891353244
80,34.4430649994,-119.969240394,0.32519616421,1.81150914723814
81,34.4340588708,-119.968921532,0.162162165,1.81243338266866
82,34.4343225256,-119.95805182,0.52944266205,1.72984123076359
83,34.434585216,-119.947181968,0.54054591562,1.62783724136598
84,34.434846942,-119.936311975,0.26849004728,1.58705045766606
85,34.4351077034,-119.925441842,0.27456027516,1.58705045766606
86,34.4253162928,-119.957734263,0.25343376197,1.72984123076359
87,34.4255788952,-119.946865573,0.29265202672,1.62783724136598
88,34.4258405335,-119.935996743,0.18626734947,1.58705045766606
89,34.4261012076,-119.925127773,0.24355389926,1.58705045766606
90,34.4263609175,-119.914258663,0.37260647732,1.59194760025079
91,34.4266196631,-119.903389415,0.4759106937,1.67921724861586
92,34.4173543188,-119.913945896,0.33887733923,1.55292519036101
93,34.4176129777,-119.90307781,0.58807588057,1.48593720719663
94,34.4178706727,-119.892209586,0.44656019639,1.56303061190264
95,34.4193965967,-119.826997366,0.14189189263,1.7774277181249
96,34.4196475428,-119.816128188,0.1729729738,1.73412028614542
97,34.4198975245,-119.805258876,0.51018711062,1.70482617540358
98,34.4201465419,-119.794389431,0.33927544596,1.72759875730702
99,34.4091205301,-119.881032081,0.38519828257,1.53776268966398
100,34.4093762112,-119.870164744,0.59648020123,1.4976053816495
101,34.4096309286,-119.85929727,0.49738738743,1.46387402300008
102,34.4098846822,-119.848429661,0.19341216238,1.43930957497128
103,34.410137472,-119.837561915,0.37499999969,1.43930957497128
104,34.4103892978,-119.826694034,0.26293436389,1.41280766570821
105,34.4106401598,-119.815826019,0.28853177554,1.42570784698073
106,34.4108900577,-119.80495787,0.39048003252,1.43033647021191
107,34.4111389917,-119.794089587,0.31619229931,1.38115907872591
108,34.4113869616,-119.783221171,0.36154187019,1.40195052101892
109,34.4116339674,-119.772352622,0.33592755064,1.42184279310782
110,34.4142873911,-119.652789986,0.27442827539,1.76487998167447
111,34.414522825,-119.641919887,0.30943188093,1.68369582196625
112,34.4147572943,-119.631049662,0.22882883007,1.63951580321716
113,34.4149907989,-119.620179311,0.2788051214,1.70178628776153
114,34.4152233389,-119.609308836,0.30535798984,1.69040233494456
115,34.4154549143,-119.598438237,0.36222091715,1.73718643771712
116,34.4156855249,-119.587567513,0.20931569966,1.73718643771712
117,34.4159151708,-119.576696667,0.10810811,1.79511828798167
118,34.4001136408,-119.880723076,0.29143294238,1.53776268966398
119,34.4003692363,-119.8698569,0.52639686332,1.4976053816495
120,34.4006238683,-119.858990588,0.53325080837,1.46387402300008
121,34.4008775368,-119.84812414,0.37082424091,1.43930957497128
122,34.4011302419,-119.837257556,0.12217697327,1.41280766570821
123,34.4026262357,-119.772055235,0.27243243376,1.42184279310782
124,34.4028721949,-119.761187717,0.25503533907,1.3904653617709
125,34.4031171903,-119.750320067,0.23408892923,1.3904653617709
126,34.4033612219,-119.739452286,0.22358722459,1.44292879266385
127,34.4055141249,-119.64163645,0.200000002,1.35112253181165
128,34.406676435,-119.587289891,0.19498069646,1.57833964553498
129,34.4069060039,-119.576420208,0.25895663277,1.57833964553498
130,34.3943532282,-119.739158516,0.44199584277,1.22664488182409
